pres_id,bin,r1,r2,mu_in,best_mu,descended,best_rep,best_chain,best_nsubs,n_orbits_seen,stopped_reason,cov_wall_ms,cov_n_aut_canon,cov_n_subs1_skipped,node_eq_ms,cov_nodes_eq_spent,B_rem,treat_cap,treat_solved,treat_nodes,treat_path,treat_min_relator_length,treat_skipped,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,control_source,full1k_solved,full1k_nodes,full1k_path,full1k_min_relator_length,full1k_cap,full1k_secs,note
0,0,YYXyx,Yx,6,6,False,"[""X"", ""YYXyx""]",[],[],1,no_candidates,0.939,2,12,0.11736865286828049,8,992,24,True,3,2,2,False,True,3,2,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,3,2,2,24,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
496,0,YYYYYYYXyyyyyyx,YYX,16,16,False,"[""X"", ""YYYYYYYXyyyyyyx""]",[],[],4,no_candidates,71.525,28,325,0.11736865286828049,609,391,31,True,3,2,2,False,True,4,3,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,3,2,2,31,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
521,0,YYYYYYYYXyyyyyyyx,YYYx,18,18,False,"[""X"", ""YYYYYYYYXyyyyyyyx""]",[],[],4,no_candidates,108.24,19,396,0.11736865286828049,922,78,33,True,3,2,2,False,True,5,4,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,3,2,2,33,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
323,0,YYYYYx,YYYYXyyyx,10,10,False,"[""X"", ""YYYYXyyyx""]",[],[],3,stop_mu,3.773,4,39,0.11736865286828049,32,968,25,True,3,2,2,False,True,7,6,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,3,2,2,25,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
228,0,YYYXyyx,YYXXYYx,14,8,True,"[""X"", ""YYYXyyx""]","[""yX""]",[2],6,stop_mu,21.722,12,33,0.11736865286828049,185,815,24,True,3,2,2,False,True,9,7,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,3,2,2,24,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
455,0,YYYYYXyyyyx,YYYYxYXX,19,12,True,"[""X"", ""YYYYYXyyyyx""]","[""Xy""]",[2],9,stop_mu,88.805,20,67,0.11736865286828049,757,243,27,True,3,2,2,False,True,10,9,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,3,2,2,27,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
77,1,YYXyx,YXyXXyxx,13,11,True,"[""YXXyx"", ""YYXyXX""]","[""yx""]",[3],9,stop_mu,29.548,14,31,0.11736865286828049,252,748,24,True,9,8,2,False,True,11,8,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,9,8,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
43,1,YYXyx,YYxYxYX,11,10,True,"[""YYXyX"", ""YXXyx""]","[""yx""]",[2],7,stop_mu,12.128,8,23,0.11736865286828049,103,897,24,True,6,5,2,False,True,13,9,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,6,5,2,24,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
141,1,YYXyx,YXyXyxxx,13,11,True,"[""YXXyx"", ""YYXyXX""]","[""yx""]",[3],8,stop_mu,30.632,11,31,0.11736865286828049,261,739,24,True,9,8,2,False,True,12,10,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,9,8,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
48,1,YYYxxYX,YYXyx,12,11,True,"[""YXXyx"", ""YYXyXX""]","[""yx""]",[2],6,stop_mu,13.596,7,27,0.11736865286828049,116,884,24,True,9,8,2,False,True,18,11,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,9,8,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
