pres_id,bin,mu_in,best_mu,descended,chain_len,best_rep,treat_cap,full1k_solved,full1k_nodes,algo_proven_b10k,algo_orbit_witness_b10k,orbit_witness_solved,orbit_witness_nodes,orbit_witness_cap,orbit_witness_exact_best_rep,orbit_witness_z,orbit_witness_r1,orbit_witness_r2,bestcov_b10k_solved,bestcov_b10k_nodes,bestcov_b10k_z,n_cov_tried,n_cov_solved
0,0,6,6,False,0,"[""X"", ""YYXyx""]",24,True,3,True,True,True,2,24,False,Yxy,Xyx,YXyxYx,True,2,Yxy,11,11
43,1,11,11,False,0,"[""YXXyx"", ""YYXyXX""]",24,True,9,True,True,True,7,24,False,xyX,XXXYxyx,YxxyxYXX,True,7,xyX,36,36
48,1,12,12,False,0,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,True,9,26,False,xyX,XXYxy,YxxxyxYXXX,True,9,Xy,32,32
77,1,13,11,True,1,"[""YXXyx"", ""YYXyxx""]",24,True,7,True,True,True,14,27,False,yx,xYxxxYxxyXX,YxyXX,True,7,Xy,43,43
141,1,13,11,True,1,"[""YXXyx"", ""YYXyXX""]",24,True,9,True,True,True,18,26,False,Xy,XyxxYxxYxx,YXXyx,True,8,yx,40,40
155,1,13,12,True,1,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,True,19,25,False,xy,XXXXyXYYx,YXyxx,True,9,xyX,36,36
201,2,13,12,True,1,"[""YXXyx"", ""YYYXyyx""]",24,True,8,True,True,True,33,24,False,yyX,YxyXYXX,YxxxyXX,True,10,Xyx,48,48
203,3,12,12,False,0,"[""YXXYx"", ""YYYXyyx""]",24,True,55,True,True,True,33,25,False,Xyx,XXXXYxxyx,YXYxyx,True,32,Xyy,49,49
217,2,14,12,True,1,"[""YXXyx"", ""YYYXyyx""]",24,True,8,True,True,True,9,24,False,Xyy,XYYxy,YXXXyxx,True,9,Xyy,43,43
228,0,14,8,True,1,"[""X"", ""YYYXyyx""]",24,True,3,True,True,True,4,24,False,yyx,xYXXX,YxxyXXX,True,4,yyx,43,43
247,2,13,11,True,1,"[""YXXyx"", ""YYXyxx""]",24,True,7,True,True,True,10,26,False,Xy,XXXyxYXYxx,YXXyxyx,True,9,XyyXy,55,55
265,3,14,12,True,1,"[""YXXYx"", ""YYYXyyx""]",24,True,55,True,True,True,88,24,False,Xyy,XYXYXy,YXXXyxx,True,62,xyX,52,51
288,2,15,12,True,1,"[""YXXYx"", ""YYYXyyx""]",24,True,55,True,True,True,47,24,False,xyyy,XYYXy,YXXyxxx,True,12,Xyx,48,48
323,0,10,10,False,0,"[""X"", ""YYYYXyyyx""]",25,True,3,True,True,True,4,25,False,Xyyy,XXY,YXXXXyxxx,True,4,Xyyy,46,46
327,3,15,12,True,4,"[""YXXyx"", ""YYXyxxx""]",24,True,10,True,True,False,,,False,,,,True,25,yyyx,58,52
331,2,15,10,True,2,"[""YYXyX"", ""YXXyx""]",24,True,6,True,True,False,,,False,,,,True,9,Xyx,65,65
333,3,14,12,True,3,"[""YXXyx"", ""YYXyxxx""]",24,True,10,True,True,False,,,False,,,,True,22,YYXyyy,65,65
367,2,16,11,True,3,"[""YXXyx"", ""YYXyxx""]",24,True,7,True,True,False,,,False,,,,True,25,Xyyy,70,69
380,3,17,12,True,4,"[""YXXyx"", ""YYXyxxx""]",24,True,10,True,True,False,,,False,,,,True,22,Xyyy,63,61
455,0,19,12,True,1,"[""X"", ""YYYYYXyyyyx""]",27,True,3,True,True,True,3,27,False,yyyyx,XY,YxxxxyXXXXX,True,3,yyyyx,85,85
496,0,16,16,False,0,"[""X"", ""YYYYYYYXyyyyyyx""]",31,True,3,True,True,True,3,31,False,YYYYYxyyyyyyy,XXYx,YXXXXXXyxxxxxxx,True,3,YYYYYxyyyyyyy,110,110
505,1,22,10,True,11,"[""YYXyX"", ""YXXyx""]",24,True,6,True,True,False,,,False,,,,True,15,Yxyy,133,131
521,0,18,18,False,0,"[""X"", ""YYYYYYYYXyyyyyyyx""]",33,True,3,True,True,True,3,33,False,YXyy,XXXXXXXXYxxxxxxx,YXXXXXXXXyxxxxxxx,True,3,YXyy,143,143
533,4,16,12,True,4,"[""YXXyx"", ""YYXyxxx""]",24,True,10,True,True,False,,,False,,,,True,23,Xyyy,69,68
538,5,17,11,True,3,"[""YXXyx"", ""YYXyxx""]",24,True,7,True,True,False,,,False,,,,True,13,Xyyy,85,84
543,5,19,12,True,10,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,118,Xyx,85,71
544,5,16,12,True,9,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,117,xYXy,89,83
546,4,18,11,True,4,"[""YXXX"", ""YYYXyyX""]",24,True,8,True,True,False,,,False,,,,True,15,Xyyyy,90,78
548,4,17,12,True,4,"[""YXXyx"", ""YYYXyyX""]",24,True,10,True,True,False,,,False,,,,True,13,Xyyy,91,91
549,5,18,12,True,10,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,226,Xyyy,89,76
565,5,18,17,True,1,"[""YXXyx"", ""YYYYYXyyyyxx""]",28,True,592,True,True,True,1952,31,False,Xy,XXXXXXyxxxxYXYx,YXyxyx,True,615,xYXy,109,67
568,7,19,12,True,8,"[""YXXyx"", ""YYYXyyX""]",24,True,10,True,True,False,,,False,,,,True,3181,XYxy,108,36
573,6,21,12,True,8,"[""YXXyx"", ""YYYXyyX""]",24,True,10,True,True,False,,,False,,,,True,3182,Xyyy,109,18
575,6,18,17,True,1,"[""YXXyx"", ""YYYYYXyyyyxx""]",28,True,592,True,True,True,1273,32,False,Xy,XXXXXXyxxxxYXXYx,YXyxxyx,True,615,xYXy,113,51
578,7,19,12,True,8,"[""YXXyx"", ""YYYXyyX""]",24,True,10,True,True,False,,,False,,,,True,3181,XYxy,115,30
579,3,21,11,True,4,"[""YXXX"", ""YYYXyyX""]",24,True,8,True,True,False,,,False,,,,True,11,Xyyy,109,107
580,4,21,12,True,6,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,25,Xyyyyy,109,98
581,6,21,17,True,2,"[""YXXyx"", ""YYYYYXyyyyxx""]",28,True,592,True,True,False,,,False,,,,True,632,Xyyyyy,109,95
583,7,19,12,True,8,"[""YXXyx"", ""YYYXyyX""]",24,True,10,True,True,False,,,False,,,,True,3320,XYxy,116,30
586,6,21,17,True,2,"[""YXXyx"", ""YYYYYXyyyyxx""]",28,True,592,True,True,False,,,False,,,,True,616,yyyyyx,109,95
589,4,20,12,True,3,"[""YXXyx"", ""YYYXyyX""]",24,True,10,True,True,False,,,False,,,,True,13,xyyyyyy,113,111
596,7,20,19,True,1,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",30,False,1000,False,True,True,5782,33,False,Xy,XXXXXXXyxxxxxYXYx,YXyxyx,True,3353,xYXy,138,51
602,6,22,12,True,7,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,37,YYxyyyyyyy,134,79
605,8,20,19,True,1,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",30,False,1000,False,True,True,9388,32,False,xy,XXXXXXYxxxxxyxxy,YXyxxyx,True,3353,YYYxyyyyyyy,142,55
606,5,23,11,True,6,"[""YXXyx"", ""YYXyXX""]",24,True,9,True,True,False,,,False,,,,True,17,Xyyyyy,138,126
609,4,22,12,True,7,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,37,Xyyy,140,101
610,8,20,19,True,1,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",30,False,1000,False,True,True,9404,32,False,yX,YXXXXXXyxxyxxxxx,YxyxxyX,True,3359,XYxy,141,54
622,8,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,169,0
623,8,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,169,0
