pres_id,bin,r1,r2,n_nonsym,fallback,hsel_z,hsel_n_subs,hsel_mu,hsel_prio,hsel_rep,hsel_cap,nonsym_heur_solved,nonsym_heur_nodes,nonsym_heur_path,nonsym_heur_h_solved,nonsym_heur_h_nodes,nonsym_heur_h_path,msel_z,msel_mu,msel_prio,msel_rep,same_as_mumin,nonsym_mumin_solved,nonsym_mumin_nodes,nonsym_mumin_path,b1k_greedy_solved,b1k_heur_solved,b1k_covgreedy_solved
0,0,YYXyx,Yx,0,autmin_original,,,6,32.354,"[""X"", ""YYXyx""]",24,True,3,2,True,3,2,,6,32.354,"[""X"", ""YYXyx""]",True,True,3,2,True,True,True
496,0,YYYYYYYXyyyyyyx,YYX,3,,yy,6,18,63.71311111111111,"[""X"", ""YYYYXyyyxYYYXyyyx""]",33,True,5,4,True,5,4,yy,18,63.71311111111111,"[""X"", ""YYYYXyyyxYYYXyyyx""]",True,True,5,4,True,True,True
521,0,YYYYYYYYXyyyyyyyx,YYYx,2,,yy,7,20,65.896,"[""X"", ""YYYYXyyyyxYYYXyyyyx""]",35,True,5,4,True,5,4,yy,20,65.896,"[""X"", ""YYYYXyyyyxYYYXyyyyx""]",True,True,5,4,True,True,True
323,0,YYYYYx,YYYYXyyyx,2,,yy,3,12,56.79866666666667,"[""X"", ""YYXyyxYXyyx""]",27,True,5,4,True,5,4,yy,12,56.79866666666667,"[""X"", ""YYXyyxYXyyx""]",True,True,5,4,True,True,True
228,0,YYYXyyx,YYXXYYx,5,,yX,2,8,35.177,"[""X"", ""YYYXyyx""]",24,True,3,2,True,3,2,yX,8,35.177,"[""X"", ""YYYXyyx""]",True,True,3,2,True,True,True
455,0,YYYYYXyyyyx,YYYYxYXX,8,,Xy,2,12,40.0,"[""X"", ""YYYYYXyyyyx""]",27,True,3,2,True,3,2,Xy,12,40.0,"[""X"", ""YYYYYXyyyyx""]",True,True,3,2,True,True,True
77,1,YYXyx,YXyXXyxx,8,,yx,3,11,44.82777272727272,"[""YXXyx"", ""YYXyXX""]",24,True,9,8,True,9,8,yx,11,44.82777272727272,"[""YXXyx"", ""YYXyXX""]",True,True,9,8,True,True,True
43,1,YYXyx,YYxYxYX,6,,yx,2,10,43.5285,"[""YYXyX"", ""YXXyx""]",24,True,6,5,True,6,5,yx,10,43.5285,"[""YYXyX"", ""YXXyx""]",True,True,6,5,True,True,True
141,1,YYXyx,YXyXyxxx,7,,yx,3,11,44.82777272727272,"[""YXXyx"", ""YYXyXX""]",24,True,9,8,True,9,8,yx,11,44.82777272727272,"[""YXXyx"", ""YYXyXX""]",True,True,9,8,True,True,True
48,1,YYYxxYX,YYXyx,5,,yx,2,11,44.82777272727272,"[""YXXyx"", ""YYXyXX""]",24,True,9,8,True,9,8,yx,11,44.82777272727272,"[""YXXyx"", ""YYXyXX""]",True,True,9,8,True,True,True
