name,archival_initial_length,starting_best_length,best_rank2_length,best_any_rank_length,best_certified_length,status,best_rank,best_words,gain_this_session,certificate_kind,source_certificate_pointer,best_rank2_words,best_rank2_certificate_kind,best_rank2_source_certificate_pointer
aca_0,18,18,18,18,18,unsolved,2,"[""YXXyxYx"",""YYYYYYXyxyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_0,"[""YXXyxYx"",""YYYYYYXyxyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_0
aca_1,15,15,15,15,15,unsolved,2,"[""YYXXyxx"",""YYYxyXyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_1,"[""YYXXyxx"",""YYYxyXyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_1
aca_2,16,16,16,16,16,unsolved,2,"[""YXXyXyx"",""YYYXyyyxx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_2,"[""YXXyXyx"",""YYYXyyyxx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_2
aca_3,17,17,17,17,17,unsolved,2,"[""YXXyxYx"",""YYYYYxyxyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_3,"[""YXXyxYx"",""YYYYYxyxyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_3
aca_4,18,18,18,17,17,unsolved,3,"[""ZXY"",""XXXZYY"",""XyzzYxZy""]",1,theorem_backed_stable_prefix,stable_dictionary_compression_report.json#/rows/4/best,"[""YYXXXyx"",""YYxyxyXyXYX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_4
aca_5,19,19,19,18,18,unsolved,3,"[""Zxy"",""YYYzXyzzx"",""YZXXyX""]",1,theorem_backed_stable_prefix,primitive_compression_report.json#/rows/18/attempts/0/boundaries/2,"[""YYXXXyX"",""YYYxyXyxyxyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_5
aca_6,19,19,19,17,17,unsolved,3,"[""ZYXX"",""YzyZx"",""XXXyxYxz""]",2,theorem_backed_stable_prefix,stable_dictionary_compression_report.json#/rows/6/best,"[""YYXXyxxyx"",""YXXXXXyxYx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_6
aca_7,16,16,16,16,16,unsolved,2,"[""YYXXyxx"",""YYYYxYXYX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_7,"[""YYXXyxx"",""YYYYxYXYX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_7
aca_8,15,15,15,15,15,unsolved,2,"[""YXyXYxx"",""YYXYXyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_8,"[""YXyXYxx"",""YYXYXyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_8
aca_9,15,15,15,15,15,unsolved,2,"[""YXXXyxx"",""YYYXXyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_9,"[""YXXXyxx"",""YYYXXyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_9
aca_10,15,15,15,15,15,unsolved,2,"[""YXXXyxx"",""YYXYXyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_10,"[""YXXXyxx"",""YYXYXyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_10
aca_11,15,15,15,15,15,unsolved,2,"[""YXXXyxx"",""YYYXyxyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_11,"[""YXXXyxx"",""YYYXyxyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_11
aca_12,15,15,15,15,15,unsolved,2,"[""YXXXyxx"",""YYXYxyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_12,"[""YXXXyxx"",""YYXYxyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_12
aca_13,16,16,16,15,15,unsolved,3,"[""XYXYz"",""XZxzy"",""Xyzyy""]",1,theorem_backed_stable_prefix,primitive_compression_report.json#/rows/2/attempts/3/boundaries/5,"[""YYXXYYx"",""YXXXyxxYx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_13
aca_14,15,15,15,15,15,unsolved,2,"[""YXXyXyx"",""YYYXyyxx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_14,"[""YXXyXyx"",""YYYXyyxx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_14
aca_15,17,17,17,17,17,unsolved,2,"[""YXXyXyxx"",""YYYYxyyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_15,"[""YXXyXyxx"",""YYYYxyyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_15
aca_16,17,17,17,15,15,unsolved,3,"[""ZXYx"",""XXZxYY"",""YZxyz""]",2,theorem_backed_stable_prefix,stable_dictionary_compression_report.json#/rows/16/best,"[""YYXXXyxx"",""YXyxxyXYx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_16
aca_17,17,17,17,17,17,unsolved,2,"[""YXXXYxYx"",""YYYYXyyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_17,"[""YXXXYxYx"",""YYYYXyyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_17
aca_18,17,17,17,17,17,unsolved,2,"[""YXXXyxYx"",""YYYYxyyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_18,"[""YXXXyxYx"",""YYYYxyyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_18
aca_19,17,17,17,17,17,unsolved,2,"[""YXyXYxxx"",""YYYYXyyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_19,"[""YXyXYxxx"",""YYYYXyyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_19
aca_20,17,17,17,17,17,unsolved,2,"[""YXXXyxYx"",""YYYYXyyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_20,"[""YXXXyxYx"",""YYYYXyyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_20
aca_21,17,17,17,17,17,unsolved,2,"[""YXXYxxyX"",""YYYYxyyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_21,"[""YXXYxxyX"",""YYYYxyyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_21
aca_22,17,17,17,17,17,unsolved,2,"[""YXXYxxyx"",""YYYYxyyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_22,"[""YXXYxxyx"",""YYYYxyyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_22
aca_23,17,17,17,17,17,unsolved,2,"[""YXXYxxyx"",""YYYYXyyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_23,"[""YXXYxxyx"",""YYYYXyyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_23
aca_24,17,17,17,15,15,unsolved,3,"[""XXZYY"",""XXyxZ"",""XYzYZ""]",2,theorem_backed_stable_prefix,stable_rank3_ac_descent_report.json#/rows/4,"[""YYXXXYxx"",""YYYXXYXYx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_24
aca_25,17,17,17,17,17,unsolved,2,"[""YXXYxxyX"",""YYYYXyyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_25,"[""YXXYxxyX"",""YYYYXyyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_25
aca_26,17,17,17,17,17,unsolved,2,"[""YXXYxYxx"",""YYYYxyyyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_26,"[""YXXYxYxx"",""YYYYxyyyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_26
aca_27,17,17,17,17,17,unsolved,2,"[""YXXyXyxx"",""YYYYXyyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_27,"[""YXXyXyxx"",""YYYYXyyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_27
aca_28,17,17,17,17,17,unsolved,2,"[""YXXYxYxx"",""YYYYXyyyx""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_28,"[""YXXYxYxx"",""YYYYXyyyx""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_28
aca_29,17,17,17,17,17,unsolved,2,"[""YYXXXyx"",""YYxxyxyXyX""]",0,identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_29,"[""YYXXXyx"",""YYxxyxyXyX""]",identity_at_saved_start,data/ms_unsolved_reps/aca_124_best.csv#name=aca_29
