name,cluster,description
ac19_99,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_102,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_103,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_105,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_109,bs_accept_budget_starved,"BS donor recognized, preflight ACCEPTS (a certified reduction exists) but the 1000-unit search never certified it -- budget-starved, not obstructed"
ac19_134,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_177,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_183,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_230,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_240,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_252,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_294,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_353,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_399,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_420,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_555,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_969,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_986,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_1007,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_1318,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_1375,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_1430,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_1518,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_1595,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_1670,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_1715,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_1725,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_1779,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_1837,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_1880,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_1997,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_2376,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_2513,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_2623,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_2671,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_2696,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_2715,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_2744,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_2748,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_3129,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_3175,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_3382,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_3432,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_3566,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_3667,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_3794,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_3797,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_3820,bs_stalled_hi,"BS donor recognized, preflight rejects with 7 stable letters left (T=6)"
ac19_3995,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_4076,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_4342,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_4395,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_4433,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_4740,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_4894,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_4974,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_5016,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_5159,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_5174,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_5230,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_5250,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_5478,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_5535,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_5542,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_5593,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_5622,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_5652,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_5981,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_6385,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_6512,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_6540,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_6554,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_6618,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_6678,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_6800,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_6847,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_6939,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_7037,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_7078,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_7248,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_7284,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_7301,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_7302,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_7496,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_8222,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_8412,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_8690,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_8721,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_8792,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_8849,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_8907,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_8984,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_9041,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_9271,bs_stalled_hi,"BS donor recognized, preflight rejects with 7 stable letters left (T=6)"
ac19_9822,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_10083,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_10111,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_10229,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_10327,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_10460,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_10562,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_10584,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_10617,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_10683,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_10811,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_10820,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_10822,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_10990,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_11074,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_11120,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_11261,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_11495,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_11628,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_11753,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_11852,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_11931,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_11953,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_12070,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_12112,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_12148,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_12445,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_12559,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_12586,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_12596,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_12647,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_12854,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_13142,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_13202,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_13214,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_13642,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_13840,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_13890,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_14165,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_14184,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_14385,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_14392,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_14409,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_14424,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_14513,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_14550,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_14569,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_14690,bs_stalled_hi,"BS donor recognized, preflight rejects with 7 stable letters left (T=6)"
ac19_14786,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_14807,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_14905,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_14939,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_15027,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_15047,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_15183,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_15189,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_15216,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_15507,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_15540,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_15586,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_15616,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_15866,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_16098,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_16166,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_16178,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_16286,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_16343,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_16371,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_16618,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_16657,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_16660,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_16808,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_16878,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_16980,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_17131,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_17204,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_17343,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_17455,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_17550,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
