pres_id,bin,beam_k,mu_in,best_mu,hits_stop,descended,best_rep,best_chain,chain_len,n_orbits_seen,stopped_reason,n_aut_canon,n_expanded,n_rungs,treat_cap,greedy_budget,greedy_solved,greedy_nodes,greedy_path,greedy_min_relator_length,b1k_greedy_solved,b1k_heur_solved,b1k_covgreedy_solved
0,0,1,6,6,True,False,"[""X"", ""YYXyx""]",[],0,1,stop_mu,1,0,0,24,1000,True,3,2,2,True,True,True
496,0,1,16,16,False,False,"[""X"", ""YYYYYYYXyyyyyyx""]",[],0,4,closed,12,2,2,31,1000,True,3,2,2,True,True,True
521,0,1,18,18,False,False,"[""X"", ""YYYYYYYYXyyyyyyyx""]",[],0,4,closed,14,3,3,33,1000,True,3,2,2,True,True,True
323,0,1,10,10,True,False,"[""X"", ""YYYYXyyyx""]",[],0,1,stop_mu,1,0,0,25,1000,True,3,2,2,True,True,True
228,0,1,14,8,True,True,"[""X"", ""YYYXyyx""]","[""yX""]",1,6,stop_mu,12,1,1,24,1000,True,3,2,2,True,True,True
455,0,1,19,12,True,True,"[""X"", ""YYYYYXyyyyx""]","[""Xy""]",1,9,stop_mu,20,1,1,27,1000,True,3,2,2,True,True,True
77,1,1,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yX""]",1,9,stop_mu,14,1,1,24,1000,True,7,6,2,True,True,True
43,1,1,11,11,True,False,"[""YXXyx"", ""YYXyXX""]",[],0,1,stop_mu,1,0,0,24,1000,True,9,8,2,True,True,True
141,1,1,13,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""yx""]",1,8,stop_mu,11,1,1,24,1000,True,9,8,2,True,True,True
48,1,1,12,12,True,False,"[""YXXyx"", ""YYXyXXX""]",[],0,1,stop_mu,1,0,0,24,1000,True,17,11,2,True,True,True
155,1,1,13,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""Xy""]",1,6,stop_mu,10,1,1,24,1000,True,17,11,2,True,True,True
505,1,1,22,19,False,True,"[""YYXXyxx"", ""YYxxxxxyXXXX""]","[""XXyx""]",1,92,rungs_exhausted,275,32,32,28,1000,True,32,20,2,True,True,True
247,2,1,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""XXy""]",1,8,stop_mu,15,1,1,24,1000,True,7,6,2,True,True,True
217,2,1,14,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,13,1,1,24,1000,True,8,7,2,True,True,True
201,2,1,13,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,9,stop_mu,12,1,1,24,1000,True,8,7,2,True,True,True
288,2,1,15,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,12,1,1,24,1000,True,55,10,2,True,True,True
367,2,1,16,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yx"", ""XXy"", ""yy""]",3,15,stop_mu,36,3,3,24,1000,True,7,6,2,True,True,True
331,2,1,15,10,True,True,"[""YYXyX"", ""YXXyx""]","[""yy"", ""yx""]",2,17,stop_mu,26,2,2,24,1000,True,6,5,2,True,True,True
203,3,1,12,12,True,False,"[""YXXYx"", ""YYYXyyx""]",[],0,1,stop_mu,1,0,0,24,1000,True,55,10,2,True,True,True
265,3,1,14,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,10,1,1,24,1000,True,55,10,2,True,True,True
579,3,1,21,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""Xy""]",4,21,stop_mu,61,4,4,24,1000,True,8,7,2,True,True,True
327,3,1,15,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",8,45,stop_mu,83,8,8,24,1000,True,17,11,2,True,True,True
