ABaBAbaBBabAb,BAbbABabaBBa  -> INV 
BaBAbbABabAba,BAbbABabaBBa  -> CONJ AbXBa
BAbbABabAbaBa,BAbbABabaBBa  -> INV 
AbABaBAbaBBab,BAbbABabaBBa  -> MULT-L
AbABaaBBa,BAbbABabaBBa      -> INV 
AbbAAbaBa,BAbbABabaBBa      -> CONJ BaXAb
bAAba,BAbbABabaBBa          -> MULT-L 
bAAbaBAbbABabaBBa,BAbbABabaBBa -> INV 
AbbABAbaBBabABaaB,BAbbABabaBBa  -> MULT-R
AbbABAbaBBabABaaB,ABaaB     -> INV 
bAAbaBAbbABabaBBa,ABaaB     -> CONJ ABaaBXbAAba 
BAbbABabaBBabAAba,ABaaB     -> MULT-L 
BAbbABabaBBa,ABaaB          -> CONJ BBabXBAbb
ABabaBBaBAbb,ABaaB          -> INV 
BBabAbbABAba,ABaaB          -> MULT-L 
BBabAbbABaB,ABaaB           -> INV 
bAbaBBaBAbb,ABaaB           -> CONJ ABaBxbAba
BBaBAbbbAba,ABaaB           -> MULT-L 
BBaBAbbbaB,ABaaB            -> CONJ bAbbXBBaB 
AbbbaBBBaB,ABaaB            -> INV 
bAbbbABBBa,ABaaB            -> MULT-L 
bAbbbABBBBaaB,ABaaB         -> INV 
bAAbbbbaBBBaB,ABaaB         -> CONJ aBXbA
AbbbbaBBB,ABaaB             -> INV 
bbbABBBBa,ABaaB             -> MULT-L 
bbbABBBBBaaB,ABaaB          -> INV 
bAAbbbbbaBBB,ABaaB          -> MULT-R
bAAbbbbbaBBB,AbbbbaBBB      -> CONJ aBXbA
AbbbbbaBBA,AbbbbaBBB        -> INV 
abbABBBBBa,AbbbbaBBB        -> MULT-L 
abbABaBBB,AbbbbaBBB         -> INV  
bbbAbaBBA,AbbbbaBBB         -> CONJ AXa
AbbbAbaBB,AbbbbaBBB         -> INV 
bbABaBBBa,AbbbbaBBB         -> MULT-L 
bbABabaBBB,AbbbbaBBB        -> CONJ baBBBXbbbAB
baBABa,AbbbbaBBB            -> MULT-L 
baBAbbbaBBB,AbbbbaBBB       -> INV 
bbbABBBabAB,AbbbbaBBB       -> MULT-R 
bbbABBBabAB,AbabAB          -> INV 
baBAbbbaBBB,AbabAB          -> CONJ bABXbaB
AbbbaBBaB,AbabAB            -> INV 
bAbbABBBa,AbabAB            -> MULT-L 
bAbbABBabAB,AbabAB          -> INV 
