claim_id	section	quoted_text	value	source_file	recompute_expr	recomputed_value	match
arm_baseline_solved	4.2/T3	634 of the 640 known-solvable ... solve	634	results/baseline_greedy/solved/calibration_baseline.jsonl	count solved in baseline stream	634	YES
arm_baseline_exhausted	3.1/T3	remaining 6 (indices 634-639)	6	results/baseline_greedy/solved/calibration_baseline.jsonl	count not solved	6	YES
straggler_idx	3.1/4.2	the remaining 6 (indices 634-639)	634-639	results/baseline_greedy/solved/calibration_baseline.jsonl	sorted idx of unsolved baseline rows	634,635,636,637,638,639	YES
arm_r1_solved	4.2/T3	r1 solved 619	619	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r1.jsonl	count solved	619	YES
arm_r1_exhausted	4.2/T3	r1 exhausted 21	21	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r1.jsonl	count exhausted_budget	21	YES
arm_r1_subset	4.2/T3	|r1\baseline|=0	0	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r1.jsonl	len(armset-bset)	0	YES
arm_r2_solved	4.2/T3	r2 solved 602	602	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r2.jsonl	count solved	602	YES
arm_r2_exhausted	4.2/T3	r2 exhausted 38	38	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r2.jsonl	count exhausted_budget	38	YES
arm_r2_subset	4.2/T3	|r2\baseline|=0	0	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r2.jsonl	len(armset-bset)	0	YES
arm_x_solved	4.2/T3	x solved 540	540	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_x.jsonl	count solved	540	YES
arm_x_exhausted	4.2/T3	x exhausted 100	100	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_x.jsonl	count exhausted_budget	100	YES
arm_x_subset	4.2/T3	|x\baseline|=0	0	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_x.jsonl	len(armset-bset)	0	YES
arm_y_solved	4.2/T3	y solved 523	523	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_y.jsonl	count solved	523	YES
arm_y_exhausted	4.2/T3	y exhausted 117	117	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_y.jsonl	count exhausted_budget	117	YES
arm_y_subset	4.2/T3	|y\baseline|=0	0	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_y.jsonl	len(armset-bset)	0	YES
arm_union	4.2/Fig2	union across arms is 620	620	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_*.jsonl	|r1|r2|x|y|	620	YES
arm_inter	4.2/Fig2	intersection is 523	523	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_*.jsonl	|r1&r2&x&y|	523	YES
stat_baseline_nodes	T3/AppC	baseline nodes min/max/mean/median (3, 77385, 1662.0, 11)	(3, 77385, 1662.0, 11)	results/baseline_greedy/solved/calibration_baseline.jsonl	min/max/mean/median nodes over solved	(3, 77385, 1662.0, 11.0)	YES
stat_baseline_path	AppC	baseline path min/max/mean/median (2, 710, 32.6, 8)	(2, 710, 32.6, 8)	results/baseline_greedy/solved/calibration_baseline.jsonl	min/max/mean/median path_len over solved	(2, 710, 32.6, 8.0)	YES
stat_r1_nodes	T3/AppC	r1 nodes min/max/mean/median (5, 239578, 2802.6, 13)	(5, 239578, 2802.6, 13)	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r1.jsonl	min/max/mean/median nodes over solved	(5, 239578, 2802.6, 13)	YES
stat_r1_path	AppC	r1 path min/max/mean/median (4, 714, 33.8, 12)	(4, 714, 33.8, 12)	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r1.jsonl	min/max/mean/median path_len over solved	(4, 714, 33.8, 12)	YES
stat_r2_nodes	T3/AppC	r2 nodes min/max/mean/median (4, 291479, 3637.1, 13)	(4, 291479, 3637.1, 13)	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r2.jsonl	min/max/mean/median nodes over solved	(4, 291479, 3637.1, 13.0)	YES
stat_r2_path	AppC	r2 path min/max/mean/median (3, 715, 29.9, 11)	(3, 715, 29.9, 11)	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_r2.jsonl	min/max/mean/median path_len over solved	(3, 715, 29.9, 11.0)	YES
stat_x_nodes	T3/AppC	x nodes min/max/mean/median (4, 326326, 14680.7, 10)	(4, 326326, 14680.7, 10)	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_x.jsonl	min/max/mean/median nodes over solved	(4, 326326, 14680.7, 10.0)	YES
stat_x_path	AppC	x path min/max/mean/median (3, 102, 12.1, 9)	(3, 102, 12.1, 9)	results/stable_ac/3_generators_w_choices/ms640/runs/calibration_x.jsonl	min/max/mean/median path_len over solved	(3, 102, 12.1, 9.0)	YES
