name,r1,r2,n_members,members,missing_arms_10k,reason
ac19_0,X,YYXyx,200,0 1 2 3 4 5 8 11 20 29 50 71 120 169 1561 1772 6160 6926 7363 10815 11213 12677 13243 13796 14637 17586 18163 18182 18802 18955 19092 19556 20217 20332 21647 21748 22047 22660 23778 23921 23985 24105 25248 27012 28545 28684 29391 30206 30281 30738 31792 34018 34773 35604 35843 36114 36511 37254 37279 40993 42267 42381 43034 43486 43580 43834 44436 45569 47777 48041 48124 49408 49699 50701 51238 51930 52606 52638 52906 53314 54177 54236 55674 56916 57597 58102 59521 60165 60341 60511 60915 61116 62823 63675 64208 64238 64772 65610 65628 65957 67172 67404 67766 68087 68163 69720 70735 70822 71669 77423 77898 78703 79291 81594 82764 82959 83593 84605 84949 85284 85690 86613 86700 86943 87467 87563 87865 88825 90374 91031 91757 92950 93260 93422 94141 94324 94789 96518 96921 99544 99888 102070 104499 105589 105894 105961 106449 106753 109511 109687 110877 112345 112576 113438 113807 114222 115360 116305 117971 117993 118114 118942 120359 121359 123933 123961 124631 124749 124790 124909 128069 128186 128286 128390 129690 132184 132566 134276 136804 136858 136877 137055 138219 138441 139053 139135 139797 140166 141569 142146 142311 143037 143959 147484 148611 149149 149193 152684 153577 155614,baseline,incomplete_all_existing_solved
ac19_1,YYXyX,YXXyx,180,6 10 13 14 22 28 35 36 52 67 89 90 122 160 1874 3381 4175 4726 4908 5146 5665 5680 6465 6789 6869 7095 7419 8900 9005 9336 9796 10650 11818 12505 12565 14076 14572 14949 15611 16524 19787 20519 20662 21435 22180 23094 25394 25558 26097 26438 27313 27736 29088 29349 30042 30957 31384 31626 31666 35733 35988 38548 42418 42734 42944 43402 44075 46131 46382 46878 47352 48220 49877 50590 51720 55554 55657 55666 61838 63727 65276 66817 67654 67967 68374 70255 70499 71310 71454 71704 72332 73675 73896 74289 74610 74715 75485 76476 76744 77512 77798 78508 78718 78850 79151 79780 81880 82388 83698 84106 84695 84856 84934 85092 85516 85715 85870 85883 86235 88112 88592 88820 89897 90006 90040 92295 94749 95497 97404 97683 98107 99229 99550 99757 102670 103571 103653 105172 105944 107309 107754 108263 108404 108759 113254 115626 119185 119942 121664 123411 124350 125408 125809 126559 127205 127269 127379 129728 130403 131209 133551 133883 136744 137062 138196 138456 138490 140482 141011 141155 144187 145323 146269 147750 149462 150723 152958 153145 155191 155885,s20_f4,incomplete_all_existing_solved
ac19_10,YXXyx,YYXXXyx,39,41 59 97 98 131 157 741 4522 7852 15505 18018 19874 24018 24402 24486 39152 42159 43236 59919 59927 71203 74784 90627 94242 105178 106445 109249 114108 120240 121060 131109 133587 134480 138426 140929 142106 150660 155128 155133,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10002,YXYXyx,YYYXyXXYxYXyx,1,12241,s20_f4,incomplete_all_existing_solved
ac19_10007,YYXyXyx,YXXXXXX,3,12247 54632 95435,baseline,incomplete_all_existing_solved
ac19_10009,YXXyx,YYXYxyyXXYXXyX,1,12249,s20_f4,incomplete_all_existing_solved
ac19_10014,YYXYxYXXyx,YYXyyxYYXyx,3,12255 28576 74370,"baseline,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10019,YYXXYx,YYXXXYxyxYXYx,1,12263,baseline,incomplete_all_existing_solved
ac19_1002,YYXXYx,YYXXyXXYYxxyx,1,1559,baseline,incomplete_all_existing_solved
ac19_10021,YXYXyx,YYYYxxyyXXXYXyX,1,12265,s20_mk2,incomplete_all_existing_solved
