pres_id,n_aut_canon,full1k_nodes,full1k_solved,b1k_greedy_solved,b1k_heur_solved,alpha_0_solved,alpha_1_solved,alpha_2_solved,alpha_5_solved,alpha_10_solved,alpha_15_solved,alpha_33_solved
0,1,3,True,True,True,True,True,True,True,True,True,True
496,28,3,True,True,True,True,True,True,True,True,True,True
521,19,3,True,True,True,True,True,True,True,True,True,True
323,1,3,True,True,True,True,True,True,True,True,True,True
228,12,3,True,True,True,True,True,True,True,True,True,True
455,20,3,True,True,True,True,True,True,True,True,True,True
77,14,7,True,True,True,True,True,True,True,True,True,True
43,1,9,True,True,True,True,True,True,True,True,True,True
141,11,9,True,True,True,True,True,True,True,True,True,True
48,1,17,True,True,True,True,True,True,True,True,True,True
155,10,17,True,True,True,True,True,True,True,True,True,True
505,135,6,True,True,True,True,True,True,True,False,False,False
247,15,7,True,True,True,True,True,True,True,True,True,True
217,13,8,True,True,True,True,True,True,True,True,True,True
201,12,8,True,True,True,True,True,True,True,True,True,True
288,12,55,True,True,True,True,True,True,True,True,True,True
367,36,7,True,True,True,True,True,True,True,True,True,False
331,26,6,True,True,True,True,True,True,True,True,True,True
203,1,55,True,True,True,True,True,True,True,True,True,True
265,10,55,True,True,True,True,True,True,True,True,True,True
579,61,8,True,True,True,True,True,True,True,True,True,False
327,52,10,True,True,True,True,True,True,True,True,True,False
333,40,10,True,True,True,True,True,True,True,True,True,False
380,57,10,True,True,True,True,True,True,True,True,True,False
546,50,8,True,True,True,True,True,True,True,True,True,False
548,42,10,True,True,True,True,True,True,True,True,True,False
533,54,10,True,True,True,True,True,True,True,True,True,False
589,31,10,True,True,True,True,True,True,True,True,True,False
580,81,17,True,True,True,True,True,True,True,True,False,False
609,84,17,True,False,True,True,True,True,True,True,False,False
538,52,7,True,False,True,True,True,True,True,True,True,False
606,78,9,True,False,True,True,True,True,True,True,False,False
544,120,17,True,False,True,True,True,True,True,False,False,False
549,134,17,True,False,True,True,True,True,True,False,False,False
543,143,17,True,False,True,True,True,True,True,False,False,False
565,528,592,True,False,True,True,False,False,False,False,False,False
602,80,17,True,False,True,True,True,True,True,True,False,False
632,75,17,True,False,True,True,True,True,True,True,False,False
573,90,10,True,False,False,True,True,True,True,True,False,False
586,537,592,True,False,True,True,False,False,False,False,False,False
581,537,592,True,False,True,True,False,False,False,False,False,False
575,528,592,True,False,True,True,False,False,False,False,False,False
568,68,10,True,False,False,True,True,True,True,True,False,False
578,68,10,True,False,False,True,True,True,True,True,False,False
583,68,10,True,False,False,True,True,True,True,True,False,False
628,185,17,True,False,True,True,True,True,True,False,False,False
633,185,17,True,False,True,True,True,True,True,False,False,False
596,540,1000,False,False,False,False,False,False,False,False,False,False
605,540,1000,False,False,False,False,False,False,False,False,False,False
610,540,1000,False,False,False,False,False,False,False,False,False,False
625,534,1000,False,False,False,False,False,False,False,False,False,False
622,534,1000,False,False,False,False,False,False,False,False,False,False
624,534,1000,False,False,False,False,False,False,False,False,False,False
623,534,1000,False,False,False,False,False,False,False,False,False,False
634,447,9,True,False,False,True,True,True,False,False,False,False
635,447,9,True,False,False,True,True,True,False,False,False,False
637,534,1000,False,False,False,False,False,False,False,False,False,False
639,534,1000,False,False,False,False,False,False,False,False,False,False
638,534,1000,False,False,False,False,False,False,False,False,False,False
636,534,1000,False,False,False,False,False,False,False,False,False,False
